II. Cost & Pricing-Per Hour,Designer 1,Designer 2,Architect,Engineer ,Principal,Ave Rates
Rate- Labor Cost per hour,35.72987981,35.72987981,35.72987981,35.72987981,35.72987981,35.72987981
Rate -Overhead Cost per hour,38.80150804,38.80150804,44.88305481,44.88305481,84.41310882,50.35644691
Rate -Total Cost,74.53138785,74.53138785,80.61293462,80.61293462,120.1429886,86.08632671
Margin,0.5,0.5,0.5,0.5,0.5,0.5
Rate -Pricing per hour,149.0627757,149.0627757,161.2258692,161.2258692,240.2859772,172.1726534
