Building Use,Building Type,Category,Building Tier,shell New Construction Min $/ft² All-in,shell Existing to Remodel Min $/ft² All-in,shell New Construction Target $/ft² All-in,shell Existing to Remodel Target $/ft² All-in,shell New Construction Max $/ft² All-in,shell Existing to Remodel Max $/ft² All-in,Interior New Construction Min $/ft² All-in,Interior Existing to Remodel Min $/ft² All-in,Interior New Construction Target $/ft² All-in,Interior Existing to Remodel Target $/ft² All-in,Interior New Construction Max $/ft² All-in,Interior Existing to Remodel Max $/ft² All-in,Outdoor & Landscape New Construction Min $/ft² All-in,Outdoor & Landscape Existing to Remodel Min $/ft² All-in,Outdoor & Landscape New Construction Target $/ft² All-in,Outdoor & Landscape Existing to Remodel Target $/ft² All-in,Outdoor & Landscape New Construction Max $/ft² All-in,Outdoor & Landscape Existing to Remodel Max $/ft² All-in,Swimming Pool New Construction Min $/ft² All-in,Swimming Pool Existing to Remodel Min $/ft² All-in,Swimming Pool New Construction Target $/ft² All-in,Swimming Pool Existing to Remodel Target $/ft² All-in,Swimming Pool New Construction Max $/ft² All-in,Swimming Pool Existing to Remodel Max $/ft² All-in,Project Shell Share (%),Project Interior Share (%),Project Landscape Share (%),Architectural Design Share (%),Interior Design Share (%),Landscape Design Share (%),Structural Design Share (%),Civil Design Share (%),Mechanical Design Share (%),Electrical Design Share (%),Plumbing Design Share (%),Telecommunication Design (%),Project Shell Share,Project Interior Share,Project Landscape Share,Architectural Design Share,Interior Design Share,Landscape Design Share,Structural Design Share,Civil Design Share,Mechanical Design Share,Electrical Design Share,Plumbing Design Share,Telecomunication Design,Telecommunication Design
Residential,Custom Houses,5,Low,139,99,154,110,177,127,32,48,40,60,51,78,14,15,20,22,30,33,5,6,7,8,11,13,70,18,12,5,1.8,1,1.3,0.7,0.7,0.7,0.5,0.3,70,18,12,5,1.8,1,1.3,0.7,0.7,0.7,0.5,0.3,0.3
Residential,Custom Houses,5,Mid,190,131,211,146,242,167,50,72,62,90,81,116,17,22,25,31,37,46,9,10,12,14,20,22,68,20,12,5.5,2.3,0.9,1.6,0.8,1.3,1.3,0.9,0.4,68,20,12,5.5,2.3,0.9,1.6,0.8,1.3,1.3,0.9,0.4,0.4
Residential,Custom Houses,5,High,240,181,267,202,307,232,83,118,103,147,134,191,27,35,39,51,58,76,15,14,22,21,35,33,62,24,14,7,3,1.2,2,1,1.6,1.6,1.1,0.5,62,24,14,7,3,1.2,2,1,1.6,1.6,1.1,0.5,0.5
